epigrafe_code,epigrafe_desc,web_supercategory,web_category,web_subcategory,display_label,investable,mapping_rule,source_rows,needs_manual_review
562901,"OTROS SERVICIOS DE COMIDAS EN INSTALACIONES DEPORTIVAS, OFICINAS, EMPRESAS O SIMILARES",Hosteleria,Catering y colectividades,Comedor colectivo,Comedor colectivo,True,exact_code,28109,False
562902,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,Hosteleria,Catering y colectividades,Comedor colectivo,Comedor colectivo,True,exact_code,155805,False
562903,SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES,Hosteleria,Catering y colectividades,Comedor colectivo,Comedor colectivo,True,exact_code,31790,False
562101,SALONES DE BANQUETES Y PROVISION COMIDAS PARA EVENTOS,Hosteleria,Catering y colectividades,Eventos y banquetes,Eventos y banquetes,True,exact_code,10952,False
563007,CAFE ESPECTACULO,Hosteleria,Ocio nocturno,Cafe espectaculo,Cafe espectaculo,True,exact_code,15746,False
932006,DISCOTECAS Y SALAS DE BAILE,Hosteleria,Ocio nocturno,Discoteca,Discoteca,True,exact_code,24040,False
561002,RESTAURANTES DE COMIDA RAPIDA,Hosteleria,Restauracion,Comida rapida,Comida rapida,True,exact_code,72198,False
561003,AUTOSERVICIO DE RESTAURACION,Hosteleria,Restauracion,Hosteleria especializada,Hosteleria especializada,True,prefix_56,4921,False
561008,VENDEDOR AMBULANTE DE ALIMENTOS PREPARADOS PARA SU CONSUMO INMEDIATO,Hosteleria,Restauracion,Hosteleria especializada,Hosteleria especializada,True,prefix_56,743,False
562904,SERVICIOS DE COMEDOR EN CENTROS DE ACTIVIDADES DE SERVICIOS SOCIALES,Hosteleria,Restauracion,Hosteleria especializada,Hosteleria especializada,True,prefix_56,8593,False
562905,SERVICIOS DE PREPARACIÓN DE COMIDAS EN HOSPITALES,Hosteleria,Restauracion,Hosteleria especializada,Hosteleria especializada,True,prefix_56,1144,False
563006,CIBER-CAFE,Hosteleria,Restauracion,Hosteleria especializada,Hosteleria especializada,True,prefix_56,1042,False
561001,RESTAURANTE,Hosteleria,Restauracion,Restaurante,Restaurante,True,exact_code,346007,False
471902,"COMERCIO AL POR MENOR DE PRODUCTOS DE PRECIO UNICO, BAZARES Y ASIMILABLES",Retail especializado,Conveniencia,Bazar y precio unico,Bazar y precio unico,True,exact_code,176870,False
472601,COMERCIO AL POR MENOR DE TABACOS Y ARTICULOS DE FUMADOR,Retail especializado,Conveniencia,Estanco,Estanco,True,exact_code,85824,False
471901,"COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, SIN PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO",Retail especializado,Conveniencia,Tienda multiproducto,Tienda multiproducto,True,exact_code,44071,False
476401,COMERCIO AL POR MENOR DE BICICLETAS,Retail especializado,Cultura y ocio,Bicicletas,Bicicletas,True,exact_code,13004,False
476403,COMERCIO AL POR MENOR DE ARTICULOS DEPORTIVOS,Retail especializado,Cultura y ocio,Deporte,Deporte,True,exact_code,39574,False
476501,COMERCIO AL POR MENOR DE JUEGOS Y JUGUETES,Retail especializado,Cultura y ocio,Jugueteria,Jugueteria,True,exact_code,32169,False
476101,COMERCIO AL POR MENOR DE LIBROS,Retail especializado,Cultura y ocio,Libreria,Libreria,True,exact_code,61068,False
476201,"COMERCIO AL POR MENOR DE PERIODICOS, REVISTAS Y ARTICULOS DE PAPELERIA",Retail especializado,Cultura y ocio,Papeleria y prensa,Papeleria y prensa,True,exact_code,91734,False
475401,COMERCIO AL POR MENOR DE ELECTRODOMESTICOS,Retail especializado,Electronica y telecom,Electrodomesticos,Electrodomesticos,True,exact_code,32050,False
474302,COMERCIO AL POR MENOR DE MATERIAL ELECTRONICO,Retail especializado,Electronica y telecom,Electronica,Electronica,True,exact_code,31684,False
477805,COMERCIO AL POR MENOR DE MATERIAL FOTOGRAFICO Y FOTOGRAFIA,Retail especializado,Electronica y telecom,Electronica y telecom,Electronica y telecom,True,keyword_tech_retail,29254,False
474102,"COMERCIO AL POR MENOR DE PRODUCTOS INFORMATICOS (ORDENADORES, PROGRAMAS, EQUIPOS PERIFERICOS Y CONSUMIBLES)",Retail especializado,Electronica y telecom,Informatica,Informatica,True,exact_code,30196,False
474201,COMERCIO AL POR MENOR DE PRODUCTOS DE TELEFONIA Y TELECOMUNICACIONES,Retail especializado,Electronica y telecom,Telefonia,Telefonia,True,exact_code,89568,False
475905,COMERCIO AL POR MENOR DE COLCHONERIA,Retail especializado,Hogar y decoracion,Colchoneria,Colchoneria,True,exact_code,22709,False
475907,COMERCIO AL POR MENOR DE ARTICULOS DE USO DOMESTICO EN ESTABLECIMIENTO ESPECIALIZADO,Retail especializado,Hogar y decoracion,Hogar y menaje,Hogar y menaje,True,exact_code,37091,False
475906,COMERCIO AL POR MENOR DE APARATOS DE ILUMINACION,Retail especializado,Hogar y decoracion,Iluminacion,Iluminacion,True,exact_code,12520,False
475902,COMERCIO AL POR MENOR DE MENAJE DEL HOGAR,Retail especializado,Hogar y decoracion,Menaje del hogar,Menaje del hogar,True,exact_code,20931,False
475901,COMERCIO AL POR MENOR DE MUEBLES,Retail especializado,Hogar y decoracion,Muebles,Muebles,True,exact_code,95303,False
475903,COMERCIO AL POR MENOR DE MUEBLES DE COCINA,Retail especializado,Hogar y decoracion,Muebles de cocina,Muebles de cocina,True,exact_code,35600,False
