zone_level,zone_code,zone_name,web_supercategory,web_category,display_label,n_locales,n_events,event_rate,duration_median_months,survival_12m,survival_24m,supported_for_stats,confidence_tier,rank_within_zone_24m
district,11.0,Carabanchel,Servicios,Servicios personales,Reparacion especializada,72,6,0.08333333333333333,135.0,1.0,1.0,False,low,7
district,11.0,Carabanchel,Automocion,Taller y reparacion,Taller chapa y pintura,70,3,0.04285714285714286,135.0,1.0,1.0,False,low,8
district,11.0,Carabanchel,Alimentacion,Alimentacion fresca,Carniceria,65,1,0.015384615384615385,135.0,1.0,1.0,False,low,9
district,11.0,Carabanchel,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,63,6,0.09523809523809523,135.0,1.0,1.0,False,low,10
district,11.0,Carabanchel,Alimentacion,Alimentacion fresca,Pescaderia,52,3,0.057692307692307696,135.0,1.0,1.0,False,low,11
district,11.0,Carabanchel,Alimentacion,Alimentacion fresca,Aves y huevos,40,0,0.0,135.0,1.0,1.0,False,low,12
district,11.0,Carabanchel,Alimentacion,Alimentacion fresca,Charcuteria,40,0,0.0,135.0,1.0,1.0,False,low,13
district,11.0,Carabanchel,Educacion,Educacion infantil,Escuela infantil,40,1,0.025,135.0,1.0,1.0,False,low,14
district,11.0,Carabanchel,Retail especializado,Conveniencia,Estanco,39,3,0.07692307692307693,135.0,1.0,1.0,False,low,15
district,11.0,Carabanchel,Servicios,Servicios personales,Arreglo de ropa,36,0,0.0,135.0,1.0,1.0,False,low,16
district,11.0,Carabanchel,Educacion,Formacion,Autoescuela,33,1,0.030303030303030304,135.0,1.0,1.0,False,low,17
district,11.0,Carabanchel,Salud y bienestar,Salud retail,Herbolario,33,5,0.15151515151515152,135.0,1.0,1.0,False,low,18
district,11.0,Carabanchel,Hosteleria,Catering y colectividades,Comedor colectivo,30,0,0.0,81.0,1.0,1.0,False,low,19
district,11.0,Carabanchel,Automocion,Venta y recambios,Recambios automovil,30,1,0.03333333333333333,135.0,1.0,1.0,False,low,20
district,11.0,Carabanchel,Automocion,Taller y reparacion,Taller automovil,30,2,0.06666666666666667,135.0,1.0,1.0,False,low,21
district,11.0,Carabanchel,Salud y bienestar,Clinicas y consultas,Fisioterapia,28,4,0.14285714285714285,135.0,1.0,1.0,False,low,22
district,11.0,Carabanchel,Servicios,Servicios personales,Reparacion de calzado,26,0,0.0,135.0,1.0,1.0,False,low,23
district,11.0,Carabanchel,Alimentacion,Alimentacion fresca,Carniceria y charcuteria,25,1,0.04,135.0,1.0,1.0,False,low,24
district,11.0,Carabanchel,Alimentacion,Comida preparada,Comida preparada,25,4,0.16,135.0,1.0,1.0,False,low,25
district,11.0,Carabanchel,Deporte y ocio,Fitness y deporte,Gimnasio,25,2,0.08,135.0,1.0,1.0,False,low,26
district,11.0,Carabanchel,Finanzas,Finanzas y seguros,Seguros,24,6,0.25,135.0,1.0,1.0,False,low,27
district,11.0,Carabanchel,Retail especializado,Cultura y ocio,Deporte,22,1,0.045454545454545456,135.0,1.0,1.0,False,low,28
district,11.0,Carabanchel,Retail especializado,Hogar y reformas,Puertas y ventanas,21,2,0.09523809523809523,135.0,1.0,1.0,False,low,29
district,11.0,Carabanchel,Retail especializado,Hogar y decoracion,Muebles de cocina,20,1,0.05,135.0,1.0,1.0,False,low,30
district,11.0,Carabanchel,Alimentacion,Especialistas alimentacion,Frutos secos y encurtidos,19,3,0.15789473684210525,135.0,1.0,1.0,False,low,31
district,11.0,Carabanchel,Retail especializado,Hogar y decoracion,Hogar y menaje,19,3,0.15789473684210525,135.0,1.0,1.0,False,low,32
district,11.0,Carabanchel,Retail especializado,Hogar y reformas,Materiales de construccion,19,3,0.15789473684210525,135.0,1.0,1.0,False,low,33
district,11.0,Carabanchel,Servicios,Servicios profesionales,Servicios profesionales,19,4,0.21052631578947367,135.0,1.0,1.0,False,low,34
district,11.0,Carabanchel,Automocion,Servicios automocion,Gasolinera,18,1,0.05555555555555555,135.0,1.0,1.0,False,low,35
district,11.0,Carabanchel,Retail especializado,Conveniencia,Tienda multiproducto,17,0,0.0,135.0,1.0,1.0,False,low,36
district,11.0,Carabanchel,Automocion,Venta y recambios,Venta de coches nuevos,17,2,0.11764705882352941,135.0,1.0,1.0,False,low,37
district,11.0,Carabanchel,Salud y bienestar,Clinicas y consultas,Veterinaria,17,1,0.058823529411764705,135.0,1.0,1.0,False,low,38
district,11.0,Carabanchel,Retail especializado,Hogar y reformas,Saneamientos,16,3,0.1875,135.0,1.0,1.0,False,low,39
